,6PG5,6PG8,6PG9,6PG10,6PG11,6PG12,6PG15,6PG25,6PG27,6PG28,6PG30,ML11,ML12,ML15,ML17,6PG33,6PG35
44,0.04377404557996423,0.10279581357428165,0.21242485995114097,0.03298634971264562,0.05631080200284011,0.0019514755287401877,0.0024277671312193856,0.05834561328093252,0.003868343018546764,0.41367869381822603,0.18627125194780586,0.07927251950694159,0.2914272925821902,0.060461270795834535,0.014290776731804887,0.28619019654066447,0.07350083853293599
45,0.03176146448693025,0.08717856365959976,0.06666743137254559,0.04300213087011966,0.13917512610781557,0.0016028403651493067,0.006465954081904669,0.04442979619423323,0.05788002924080298,0.1155611382103706,0.06702833027095824,0.06881776370909416,0.057504903953622184,0.10836024905394812,0.26036568049449715,0.12861817412968754,0.4513973337061809
46,0.06335332068554286,0.11881545799616614,0.15424365420693723,0.39509771682425615,0.05464645940838699,0.01977232735947611,0.004674911099782936,0.1906103616421939,0.17508309367195066,0.2760463555957575,0.005731645752423867,0.01866885875243618,0.35301499275197046,0.3698376905275423,0.0951139430061222,0.10641063902993197,0.04934919759975188
47,0.032666840592856385,0.23476732317391036,0.03589513079756992,0.219451056057776,0.21337127483857138,0.0017620430421049068,0.0007253272453023707,0.05575638158074003,0.10357648899265633,0.0659198104618438,0.09977386089472938,0.017864749465037986,0.22325556870610716,0.1124475090827325,0.10748065628306575,0.06730193887435382,0.06099692313555422
48,0.03636725540848109,0.23024472304433813,0.06042110075450903,0.02952617891512347,0.0009036843175604527,0.07575781869329522,0.0011931597610118324,0.021064999687348145,0.1781486189313646,0.13036255365077462,0.11059421788118384,0.2752399012833304,0.057047217819209385,0.302320982047008,0.09631223993825547,0.29403944501752827,0.2042228822536995
49,0.17430433066709983,0.1717216512274477,0.23892571745350175,0.048802555792128714,0.047857380254615126,0.3233696192234848,0.0003232977535847533,0.08971142417074078,0.01853999322782311,0.059043274304608345,0.2141205634644434,0.14998440004306104,0.09357071942639968,0.08046531900644892,0.08015209097694127,0.07340017600038828,0.32319420881197586
50,0.043567177006491306,0.11114028487846246,0.036402055078650165,0.017997359535596603,0.005703586332598337,0.004113018202315914,0.11404444276143923,0.045082830364305715,0.03858081131400637,0.13770873760000066,0.09510472009156126,0.0904173020539255,0.357515539860312,0.22232840476444762,0.27854740127145383,0.41836585181798014,0.06697862886228792
51,0.04146646240431573,0.08233443344330073,0.05306930081470172,0.05144374917965278,0.003968735682847661,0.02858789895767204,0.3264724257687946,0.08828732417798273,0.03524992393249062,0.0846225601406033,0.3263043442519383,0.024435943887434305,0.062112782450147716,0.05417105638305953,0.07245742517274069,0.056817745891016964,0.24042538612629308
52,0.12115002679843281,0.32115421668678196,0.04777381030993381,0.18934761556087773,0.14138670558536331,0.18281664433698844,0.04128458369030668,0.09585402065709896,0.09866212256698387,0.11746912002060553,0.08432805654633074,0.03957148698856472,0.33425635309045765,0.004677748222699936,0.05797926459644893,0.14122559659141606,0.06068736835552521
53,0.017112999602271903,0.10376765927394781,0.09939712230163422,0.33152783592057644,0.19723179100330085,0.007317152830581145,0.018752039505322515,0.010479567642729008,0.24107627088475028,0.09350154918875768,0.16295240211337264,0.02725391280107064,0.2549955426739427,0.0929818251401052,0.18985235752729213,0.3256618590242921,0.10462103197434981
