,6PG5,6PG6,6PG8,6PG9,6PG10,6PG11,6PG12,6PG15,6PG24,6PG25,6PG27,6PG28,6PG30,ML11,ML12,ML13,ML14,ML15,ML17,6PG33,6PG34,6PG35
43,0.001248519,0.05638852,0.068800086,0.301593069,0.049260827,0.124049646,0.207101717,0.17296754,0.02097099,0.253165811,0.003897918,0.117392795,0.001800953,0.227554292,0.142596621,0.009615555,0.050308667,0.363213469,0.006476949,0.008143402,0.355063904,0.064485287
44,0.000859167,0.211706338,0.014010279,0.033964423,0.007093006,0.027043087,0.89091523,0.272207234,0.109531048,0.150861709,0.000529137,0.047284533,0.17458,0.178578589,0.038863407,0.110226335,0.08863147,0.378915767,0.3047819,0.011019887,0.205357559,0.016016035
45,0.000673378,0.054946523,0.214477874,0.377931806,0.013367486,0.043884672,0.046337993,0.026340863,0.14156258,0.395621807,0,0.278022482,0.125794724,0.037563548,0.058702423,0.039696833,0.243538191,0.070100555,0.318411645,0.004344234,0.010317491,0.211765751
46,0.005017687,0.07110191,0.005193021,0.046773317,0.006957481,0.328077403,0.505759258,0.031796414,0.042108496,0.212958567,0.002442201,0.115310495,0.024307292,0.268124274,0.191311095,0.224431368,0.237221804,0.167493566,0.06926699,0.004478207,0.006486514,0.081796659
47,0.026966708,0.254033137,0,0.004297532,0.014530569,0.049899838,0.046921561,0.030796279,0.026869482,0.032342004,0.000989525,0.230971623,0.023896027,0.024229922,0.367252548,0.035997419,0.037422013,0.218555233,0.218380521,0.029220721,0.01200601,0.073025523
48,0.049685474,0.047349185,0.072179338,0.107502704,0.042702241,0.751875189,0.072477132,0.161257825,0.105379879,0.180466714,0.002561698,0.044385005,0.21912379,0.101432495,0.179848617,0.033159857,0.072398852,0.1660235,0.497951008,0.028288793,0.028774511,0.305007028
49,0.012505686,0.068943249,0.130927477,0.42693174,0.056564441,0.021557879,0.343089514,0.07700239,0.025848396,0.166358667,0.000400978,0.044549538,0.020871091,0.034977443,0.065915558,0.025228624,0.242768369,0.038985246,0.082288345,0.005278736,0.176804307,0.068794836
50,0.001203531,0.080705109,0.078053236,0.029021455,0.148937439,0.183114311,0.045477614,0.023543161,0.344450344,0.508577128,0.001597999,0.029177082,0.485810151,0.001925939,0.217610775,0.129484884,0.043337177,0.168137745,0.096946384,0.162397821,0.078469046,0.044394938
51,0.011543236,0.084507016,0.007761151,0.110375978,0.001862574,0.173914321,0.07335734,0.027724872,0.060427119,0.105335908,0.000994542,0.134850178,0.455339835,0.256883265,0.303826429,0.049782847,0.039899769,0.007560947,0.062501731,0.030946748,0.028345162,0.259640707
52,0.068787582,0.257136679,0.040103995,0.004887014,0.00964284,0.086164264,0.217906826,0.174961693,0.151376427,0.002094518,0.006209351,0.126136816,0.050360026,0.029872468,0.059263478,0.02362909,0.226078184,0.046265818,0.007635685,0.007748215,0.003442064,0.050434498
53,0.046582553,0.070461775,0.17022275,0.248005661,0.05626402,0.74449273,0.042539214,0.066975758,0.037453041,0.70806842,0.082209739,0.028445648,0.129140355,0.568982403,0.202171925,0.09468529,0.043372679,0.205654073,0.28546208,0.003817556,0.234201977,0.21761171
54,0.200565054,0.066583332,0.063672279,0.033642119,0.017091298,0.041770049,0.061856601,0.087723774,0.151798601,0.429663101,0.058280013,0.055126391,0.030829523,0.117770648,0.1077115,0.038687374,0.314468184,0.061066807,0.104124407,0.063999103,0.048875608,0.342710193
55,0.003502627,0.151806388,0.016126732,0.03310585,0.019270576,0.002510124,0.272030328,0.016475203,0.001657982,0.165922806,0.076829853,0.111081685,0.14028028,0.20589203,0.240173372,0.027807034,0.108244456,0.036718573,0.448918299,0.282261759,0.031807671,0.269826871
